item_type,song_name,song_duration_ms,artists,album_name,release_date,song_preview_url,song_url,popularity,genre
track,The Way I Talk,208280,Morgan Wallen,If I Know Me,2018,https://p.scdn.co/mp3-preview/32b3b47e0a2867c0f809cefcd9da20350a5d3b8c?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/21LRaD9rB3v7p7DDCZsW4y,75,country
track,Meant to Be (feat. Florida Georgia Line),163870,"Bebe Rexha, Florida Georgia Line",All Your Fault: Pt. 2,2017,https://p.scdn.co/mp3-preview/0b972d24c49e50be428edfacbafae85cb80249e9?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,74,country
track,Life is a Highway,276320,Rascal Flatts,Me And My Gang,2006,,https://open.spotify.com/track/2Fs18NaCDuluPG1DHGw1XG,74,country
track,Head Over Boots,202346,Jon Pardi,California Sunrise,2016,,https://open.spotify.com/track/4ly1QBXEwYoDmje9rmEgC4,74,country
track,Play It Again,226866,Luke Bryan,Crash My Party,2013,,https://open.spotify.com/track/03fT3OHB9KyMtGMt2zwqCT,74,country
track,Dirt On My Boots,201893,Jon Pardi,California Sunrise,2016,,https://open.spotify.com/track/7f08qp3HROTkfrtNpiYGGo,73,country
track,Your Man,211893,Josh Turner,Your Man,2006,,https://open.spotify.com/track/1WzAeadSKJhqykZFbJNmQv,73,country
track,Springsteen,263386,Eric Church,Chief,2011,,https://open.spotify.com/track/05ZACkzW8YbRq3eFgIfSNB,73,country
track,Knee Deep (feat. Jimmy Buffett),203173,"Jimmy Buffett, Zac Brown Band",You Get What You Give,2010,https://p.scdn.co/mp3-preview/7344d8eb5f2e571df3b6505847cf7e69480e425f?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/60IGhnH20N82dNxKnc8jDd,73,country
track,Die A Happy Man,227426,Thomas Rhett,Tangled Up,2015,,https://open.spotify.com/track/5kNe7PE09d6Kvw5pAsx23n,73,country
track,Dirt Road Anthem,229400,Jason Aldean,My Kinda Party,2010,https://p.scdn.co/mp3-preview/8c2163901dc9112cc0498e27ccee021c52f32287?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/2qYsSHsYkihWx043HVJQRV,72,country
track,Heaven,179506,Kane Brown,Kane Brown (Deluxe Edition),2017,https://p.scdn.co/mp3-preview/34b8ce2812f87d28bd79e8ef47c16312bdef219d?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7,72,country
track,Drink In My Hand,191306,Eric Church,Chief,2011,,https://open.spotify.com/track/1cktZnxiONH0hR6Q3DKy8h,72,country
track,Need You Now,277573,Lady A,Need You Now,2010,,https://open.spotify.com/track/11EX5yhxr9Ihl3IN1asrfK,72,country
track,Chattahoochee,148160,Alan Jackson,A Lot About Livin' (And A Little 'Bout Love),1992,https://p.scdn.co/mp3-preview/1ee1b1218975069cd2247bbc2eaabbc7a4c89775?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/59kHPbwyyCApYA8RQQEuXm,72,country
track,Any Man Of Mine,246760,Shania Twain,The Woman In Me,1995,,https://open.spotify.com/track/0pdfN7nOHMYmKykzu1cyfm,72,country
track,It's A Great Day To Be Alive,241533,Travis Tritt,Down The Road I Go,2000,https://p.scdn.co/mp3-preview/9ebae0d96a0264e5e32fbc0b1e787ec72f413824?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3oW6SWwGqiZSPTiAp7ZQoH,72,country
track,Rumor,198440,Lee Brice,Lee Brice,2017,https://p.scdn.co/mp3-preview/dd79faa244a7f607f03ebca514b9fc85edfa47ee?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/56eGOeSsqdg3FLxdo83TwV,72,country
track,One Thing Right,181823,"Kane Brown, Marshmello",One Thing Right,2019,https://p.scdn.co/mp3-preview/85369c35fbf8cbcfc40186cb1323d85d2f00aabd?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,72,country
track,Our Song,201106,Taylor Swift,Taylor Swift,2006,,https://open.spotify.com/track/15DeqWWQB4dcEWzJg15VrN,72,country
track,Parachute,253200,Chris Stapleton,Traveller,2015,,https://open.spotify.com/track/5jROdl6MhcmP3O7h2sVgtw,72,country
track,What Ifs (feat. Lauren Alaina),188253,"Kane Brown, Lauren Alaina",Kane Brown,2016,https://p.scdn.co/mp3-preview/8c161285ddfe42f110ab59302ef58900a53daf65?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/7zVCrzzEJU7u24sbJPXA5W,72,country
track,That's My Kind Of Night,190186,Luke Bryan,Crash My Party,2013,,https://open.spotify.com/track/5HGibWoxnkYSkl6mHmAlOE,72,country
track,Toes,262773,Zac Brown Band,The Foundation,2008,https://p.scdn.co/mp3-preview/45af3c23a4637ebec38cc0fbca5b23d16216b875?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/4S518ci8UY4op0Xyp6Hx6o,72,country
track,American Kids,182960,Kenny Chesney,The Big Revival,2014,https://p.scdn.co/mp3-preview/f23d792920d92174e8708b7841df011d7f48258f?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/1dgWTMoHwTUnQhOQ8SR5fV,71,country
track,Barefoot Blue Jean Night,167426,Jake Owen,Barefoot Blue Jean Night,2011,https://p.scdn.co/mp3-preview/ac07c030780fec2f57cc0570e88ae1b981b676f0?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3ts6xK5GzfMAAriT9AIBmP,71,country
track,Body Like A Back Road,165386,Sam Hunt,Body Like A Back Road,2017,,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO,71,country
track,Check Yes Or No,200666,George Strait,Strait Out Of The Box,1995,,https://open.spotify.com/track/6iy4PoAuZBMvtrlDX4VxC7,71,country
track,Colder Weather,273893,Zac Brown Band,You Get What You Give,2010,https://p.scdn.co/mp3-preview/8e910a03a60c13ee62c9536d3b143e0506bf6c1a?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3U8dHeggJ8IBe0UCb1gbyB,71,country
track,Cruise,208960,Florida Georgia Line,Here's To The Good Times,2012,,https://open.spotify.com/track/0i5el041vd6nxrGEU8QRxy,71,country
track,"Forever and Ever, Amen",212640,Randy Travis,Always & Forever,1987,https://p.scdn.co/mp3-preview/e82f5eef20dcf783c73db6ada4a8be86bdb0d54a?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/1ipcb9qXpSHWhSUvdxJhsx,71,country
track,Good Directions,215853,Billy Currington,Doin' Somethin' Right,2005,,https://open.spotify.com/track/7GQjJEwqlp6m5HNWVQd6OR,71,country
track,House Party,190240,Sam Hunt,Montevallo,2014,,https://open.spotify.com/track/1TwLKNsCnhi1HxbIi4bAW0,71,country
track,Something Like That,183733,Tim McGraw,A Place In The Sun,1999,https://p.scdn.co/mp3-preview/ab1456b62aa6e65012494cf080d3911429c161ae?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/6leiB1fEsTnVCuPiielde5,71,country
track,That Don't Impress Me Much,218866,Shania Twain,Come On Over,1997,,https://open.spotify.com/track/4FUfoWMypAyWbOavmYyeNu,71,country
track,You Make It Easy,196800,Jason Aldean,Rearview Town,2018,https://p.scdn.co/mp3-preview/bdee5f5c472921df5e46989a07806ffda4b2b3a0?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/6EGAfJaLUFzhS4zRBIEQ2J,71,country
track,Dust On The Bottle,224666,David Lee Murphy,Out With A Bang,1994,,https://open.spotify.com/track/0Xg68XXMRWzKQvD5S6BFvI,70,country
track,Amazed,240866,Lonestar,Lonely Grill,1999,https://p.scdn.co/mp3-preview/bb2dc2f4c4a12e454d37c0d356c0c3757e9b3bdf?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/6qc34bnVOyqGDPni8H5W0U,70,country
track,Bless The Broken Road,226680,Rascal Flatts,Feels Like Today,2004,,https://open.spotify.com/track/4YjjNHtEsTX6Af4mCTupT5,70,country
track,Can't Fight The Moonlight,215506,LeAnn Rimes,I Need You,2001,https://p.scdn.co/mp3-preview/8c89c35873bbffbdbf72479e44a12ccaeaceccd3?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/2AogRMqARWyUP7VQ3gmSoY,70,country
track,Cowboy Take Me Away,287266,The Chicks,Fly,1999,https://p.scdn.co/mp3-preview/8697c7630c5cd3bc497ccfc24cc3eef9d4b21016?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3rXCZRMiMZp0feGcYXpwYX,70,country
track,Crazy Girl,200706,Eli Young Band,Life At Best,2011,,https://open.spotify.com/track/1nVLAEzhBXMJLR5zAl90Nl,70,country
track,Drinkin' Problem,220800,Midland,On The Rocks,2017,,https://open.spotify.com/track/1vBpwxsLVwaR4evBIaFmqD,70,country
track,"Heads Carolina, Tails California",209760,Jo Dee Messina,JoDee Messina,1996,https://p.scdn.co/mp3-preview/940467459b73c6524c61ade32527ab1a7d0288a2?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/6Lmx6bz3PGYuNSjKMnYBOa,70,country
track,Fire Away,244333,Chris Stapleton,Traveller,2015,,https://open.spotify.com/track/5j4hSQH0KaAc8f6cimnXIT,70,country
track,Humble And Kind,259266,Tim McGraw,Damn Country Music,2015,,https://open.spotify.com/track/4Pn0JlCUusD2QHjADuOzuV,70,country
track,She's Country,220573,Jason Aldean,Wide Open,2009,https://p.scdn.co/mp3-preview/d4f40547ac80a5aa212d6f778bafc7b98eac56af?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/0PspNrE4MSjr1JeB4OW0jn,70,country
track,Tequila,196746,Dan + Shay,Dan + Shay,2018,https://p.scdn.co/mp3-preview/bf69830f0ee23284aa7559c2f1938ce883797837?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y,70,country
track,This Is How We Roll,220906,"Florida Georgia Line, Luke Bryan",Here's To The Good Times...This Is How We Roll,2013,,https://open.spotify.com/track/2TR7A4ulH9R1PNwMyd8o8U,70,country
track,Would You Go With Me,228186,Josh Turner,Your Man,2006,,https://open.spotify.com/track/1KhrAWvLIjRlQIJtSTgvsi,70,country
track,You Belong With Me,231133,Taylor Swift,Fearless,2008,,https://open.spotify.com/track/3GCL1PydwsLodcpv0Ll1ch,70,country
track,I Don't Want This Night To End,219973,Luke Bryan,Tailgates & Tanlines,2011,,https://open.spotify.com/track/7c1KTn1z8Gw8ouYdcF4qaG,69,country
track,Alright,231920,Darius Rucker,Learn To Live,2008,,https://open.spotify.com/track/5JlH51YDYsGj2dyEJKKjcN,69,country
track,As Good As I Once Was,227840,Toby Keith,Honkytonk University,2005,,https://open.spotify.com/track/7G6l2FtQyRhQgYgut2I6i8,69,country
track,Back To December,293026,Taylor Swift,Speak Now,2010,,https://open.spotify.com/track/3DrjZArsPsoqbLzUZZV1Id,69,country
track,Five More Minutes,241146,Scotty McCreery,Seasons Change,2018,https://p.scdn.co/mp3-preview/fefa88f447f6c427e7fb3afea51a3a784db9b686?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3qTmB5HxP9ilJaiM6B1yuk,69,country
track,Girl Crush,193320,Little Big Town,Pain Killer,2014,,https://open.spotify.com/track/11qh54D0PKkBwelpDxxiEU,69,country
track,Homegrown,205000,Zac Brown Band,JEKYLL + HYDE,2015,https://p.scdn.co/mp3-preview/75ad651cb50c227b7a2200d2aef5892f7ba3e2e2?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/2kR18wsL3gvXRXdNE4dCGc,69,country
track,Yellow,266773,Coldplay,Parachutes,2000,https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,89,rock
track,Believer,204346,Imagine Dragons,Evolve,2017,,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,88,rock
track,Do I Wanna Know?,272394,Arctic Monkeys,AM,2013,https://p.scdn.co/mp3-preview/006bc465fe3d1c04dae93a050eca9d402a7322b8?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst,87,rock
track,Stressed Out,202333,Twenty One Pilots,Blurryface,2015,https://p.scdn.co/mp3-preview/d01bb6b4b9952d95d2609632474cda8e632e044d?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,85,rock
track,Mr. Brightside,222973,The Killers,Hot Fuss,2004,,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,85,rock
track,The Less I Know The Better,216320,Tame Impala,Currents,2015,,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,85,rock
track,Seven Nation Army,232106,The White Stripes,Elephant,2003,https://p.scdn.co/mp3-preview/eca519f0a85862d9510d57d59df557081d375e3a?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,84,rock
track,Chop Suey!,210240,System Of A Down,Toxicity,2001,https://p.scdn.co/mp3-preview/d536012652d7c99c472fe3811312ce3026f2196b?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN,83,rock
track,Chamber Of Reflection,231723,Mac DeMarco,Salad Days,2014,https://p.scdn.co/mp3-preview/17a0b215c5cab8a53047fd6aa5c5dd54507efaec?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/7H7NyZ3G075GqPx2evsfeb,83,rock
track,Borderline,237800,Tame Impala,The Slow Rush,2020,,https://open.spotify.com/track/5hM5arv9KDbCHS0k9uqwjr,83,rock
track,Pumped Up Kicks,239600,Foster The People,Torches,2011,https://p.scdn.co/mp3-preview/2213bf4173a9b50a807a30121ed6b559a7778209?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,83,rock
track,SLOW DANCING IN THE DARK,209273,Joji,BALLADS 1,2018,https://p.scdn.co/mp3-preview/1aa59cfc4e15a45403fd35eb72ce62acd8a45f58?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,83,rock
track,we fell in love in october,184153,girl in red,we fell in love in october / October Passed Me By,2018,https://p.scdn.co/mp3-preview/0415195377d9574c4f552372019421311a34ce55?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/6IPwKM3fUUzlElbvKw2sKl,83,rock
track,R U Mine?,201726,Arctic Monkeys,AM,2013,https://p.scdn.co/mp3-preview/d41c9b18f0787cc9b2ccea10740d92dd7e7f639a?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/2AT8iROs4FQueDv2c8q2KE,82,rock
track,Hell N Back,213573,Bakar,Hell N Back,2019,https://p.scdn.co/mp3-preview/16f7a5ee995c64abdfe74578a0abf6e37c5129ee?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3NRql0A1Ef4RCvT473iqgD,82,rock
track,Doin' Time,202192,Lana Del Rey,Norman Fucking Rockwell!,2019,,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX,82,rock
track,Can't Stop,269000,Red Hot Chili Peppers,By the Way (Deluxe Edition),2002,https://p.scdn.co/mp3-preview/1b3bc0aca1746a99cbb8dd07b2325f6499b58a2e?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,82,rock
track,Californication,329733,Red Hot Chili Peppers,Californication (Deluxe Edition),1999,https://p.scdn.co/mp3-preview/0fd595c5b63db10f4a99683f8248ea5d13700683?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox,82,rock
track,Bring Me To Life,235893,Evanescence,Fallen,2003,,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp,82,rock
track,The Reason,232800,Hoobastank,The Reason (15th Anniversary Deluxe),2003,,https://open.spotify.com/track/77loZpT5Y5PRP1S451P9Yz,81,rock
track,Last Resort,199906,Papa Roach,Infest,2001,,https://open.spotify.com/track/5W8YXBz9MTIDyrpYaCg2Ky,81,rock
track,Sex on Fire,203346,Kings of Leon,Only By The Night,2008,https://p.scdn.co/mp3-preview/6806855988e246016413cc8a34a2afe862f3988d?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45,81,rock
track,Heathens,195920,Twenty One Pilots,Heathens,2016,https://p.scdn.co/mp3-preview/31b8d72a9480d06d28846b843539b8b5e58696db?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,81,rock
track,Toxicity,218933,System Of A Down,Toxicity,2001,https://p.scdn.co/mp3-preview/d9b89161dacbb987b360417346591712c4023abd?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/0snQkGI5qnAmohLE7jTsTn,81,rock
track,"You're Gonna Go Far, Kid",177826,The Offspring,"Rise And Fall, Rage And Grace",2008,,https://open.spotify.com/track/6TfBA04WJ3X1d1wXhaCFVT,81,rock
track,What I've Done,205613,Linkin Park,Minutes to Midnight,2007,https://p.scdn.co/mp3-preview/2a595a2e02236d5a9b8936f3de371a9ba1c9eea9?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/18lR4BzEs7e3qzc0KVkTpU,81,rock
track,Kryptonite,233933,3 Doors Down,The Better Life,2000,,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,80,rock
track,Electric Love,218106,BØRNS,Dopamine,2015,,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ,80,rock
track,How You Remind Me,223840,Nickelback,Silver Side Up,2001,https://p.scdn.co/mp3-preview/94fd201045f5b682935957a8206075638dc4622d?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf,80,rock
track,Ivy,249191,Frank Ocean,Blonde,2016,https://p.scdn.co/mp3-preview/3eb4d77b749c0f49037e6aee78536eb35b5c88c7?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/2ZWlPOoWh0626oTaHrnl2a,80,rock
track,Centuries,228360,Fall Out Boy,American Beauty/American Psycho,2015,,https://open.spotify.com/track/04aAxqtGp5pv12UXAg4pkq,80,rock
track,My Kind of Woman,190845,Mac DeMarco,2,2012,https://p.scdn.co/mp3-preview/84a0a0a0a484047ef91d1841090bb04182e83692?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/6jgkEbmQ2F2onEqsEhiliL,80,rock
track,Royals,190185,Lorde,Pure Heroine,2013,,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,80,rock
track,Teenagers,161920,My Chemical Romance,The Black Parade,2006,https://p.scdn.co/mp3-preview/e6d0c0da5d86b2d19ee4456344ac9527a72b2a7d?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0,80,rock
track,The Middle,165853,Jimmy Eat World,Bleed American,2001,,https://open.spotify.com/track/6GG73Jik4jUlQCkKg9JuGO,80,rock
track,Way down We Go,213706,KALEO,A/B,2016,https://p.scdn.co/mp3-preview/02fd29df3617481c4f974279aea5ffea9c9ba0fd?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/0y1QJc3SJVPKJ1OvFmFqe6,80,rock
track,Budapest,200733,George Ezra,Wanted on Voyage (Expanded Edition),2014,https://p.scdn.co/mp3-preview/03e6f12a87c862370fe965eb330fbcab1f2ee93f?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/2ixsaeFioXJmMgkkbd4uj1,79,rock
track,Complicated,244506,Avril Lavigne,Let Go,2002,https://p.scdn.co/mp3-preview/34657059f6a40050f96e3cbf3d929aa595f5dd60?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/5xEM5hIgJ1jjgcEBfpkt2F,79,rock
track,Snap Out Of It,193030,Arctic Monkeys,AM,2013,https://p.scdn.co/mp3-preview/f2ab7daa4bbd9ad5889c0dda818c40fe60b66406?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY,79,rock
track,Sofia,188386,Clairo,Immunity,2019,,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM,79,rock
track,Still into You,216013,Paramore,Paramore,2013,https://p.scdn.co/mp3-preview/4abdea56e053fe7d0f4f4e446b43d404b28edf69?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/1yjY7rpaAQvKwpdUliHx0d,79,rock
track,Take Me Out,237026,Franz Ferdinand,Franz Ferdinand,2004,https://p.scdn.co/mp3-preview/f91cfdf3dd5f7114cf47f8c8b2567b7a8a76d9ed?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/20I8RduZC2PWMWTDCZuuAN,79,rock
track,Walking On A Dream,198440,Empire of the Sun,Walking On A Dream (10th Anniversary Edition),2008,,https://open.spotify.com/track/5r5cp9IpziiIsR6b93vcnQ,79,rock
track,Island In The Sun,200306,Weezer,Weezer,2001,,https://open.spotify.com/track/2MLHyLy5z5l5YRp7momlgw,78,rock
track,Are You Bored Yet? (feat. Clairo),178000,"Clairo, Wallows",Nothing Happens,2019,https://p.scdn.co/mp3-preview/7149829d4c4645d0d4d7c9b13285879d68042a72?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm,78,rock
track,Change (In the House of Flies),299533,Deftones,White Pony,2000,https://p.scdn.co/mp3-preview/d0fca1a516d07cea609f8f259faf940af456cdfa?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/51c94ac31swyDQj9B3Lzs3,78,rock
track,Dani California,282160,Red Hot Chili Peppers,Stadium Arcadium,2006,https://p.scdn.co/mp3-preview/0454b7cef05f7db734eb04bd4f3948009838f380?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/10Nmj3JCNoMeBQ87uw5j8k,78,rock
track,Hey There Delilah,232533,Plain White T's,All That We Needed,2005,,https://open.spotify.com/track/4RCWB3V8V0dignt99LZ8vH,78,rock
track,Eventually,318591,Tame Impala,Currents,2015,,https://open.spotify.com/track/5M4yti0QxgqJieUYaEXcpw,78,rock
track,Like a Stone,293960,Audioslave,Audioslave,2002,https://p.scdn.co/mp3-preview/46d898c23fb28b9f52abf78b794aa500988d2132?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/3YuaBvuZqcwN3CEAyyoaei,78,rock
track,The Pretender,269373,Foo Fighters,"Echoes, Silence, Patience & Grace",2007,https://p.scdn.co/mp3-preview/23a6ace3679431062d5e6f0bc60a514f3a26da4e?cid=c17b2cc765cd4ad9b5353574849a4496,https://open.spotify.com/track/7x8dCjCr0x6x2lXKujYD34,78,rock
track,Thnks fr th Mmrs,203506,Fall Out Boy,Infinity On High,2007,,https://open.spotify.com/track/3Zwu2K0Qa5sT6teCCHPShP,78,rock
track,Somebody Told Me,197200,The Killers,Hot Fuss,2004,,https://open.spotify.com/track/6PwjJ58I4t7Mae9xfZ9l9v,78,rock
track,"Sugar, We're Goin Down",229093,Fall Out Boy,From Under The Cork Tree,2005,,https://open.spotify.com/track/2TfSHkHiFO4gRztVIkggkE,78,rock
